lr,embed_dim,rnn_hidden_size,fc_hidden_size,num_layers,dropout_rate,val_accuracy
0.001,16,32,32,1,0.0,0.8593781344032096
0.001,16,32,32,1,0.3,0.8421263791374123
0.001,16,32,32,1,0.5,0.8529588766298897
0.001,16,32,32,2,0.0,0.8613841524573721
0.001,16,32,32,2,0.3,0.8639919759277833
0.001,16,32,32,2,0.5,0.7997993981945838
0.001,16,32,32,3,0.0,0.8214643931795386
0.001,16,32,32,3,0.3,0.7648946840521564
0.001,16,32,32,3,0.5,0.5843530591775326
0.001,16,32,64,1,0.0,0.808826479438315
0.001,16,32,64,1,0.3,0.7578736208625878
0.001,16,32,64,1,0.5,0.8359077231695086
0.001,16,32,64,2,0.0,0.8597793380140422
0.001,16,32,64,2,0.3,0.7478435305917753
0.001,16,32,64,2,0.5,0.7837512537612839
0.001,16,32,64,3,0.0,0.8619859578736209
0.001,16,32,64,3,0.3,0.8096288866599799
0.001,16,32,64,3,0.5,0.6657973921765296
0.001,16,32,128,1,0.0,0.8256770310932798
0.001,16,32,128,1,0.3,0.7831494483450351
0.001,16,32,128,1,0.5,0.8459378134403209
0.001,16,32,128,2,0.0,0.8788365095285857
0.001,16,32,128,2,0.3,0.8619859578736209
0.001,16,32,128,2,0.5,0.8641925777331996
0.001,16,32,128,3,0.0,0.5933801404212637
0.001,16,32,128,3,0.3,0.49628886659979937
0.001,16,32,128,3,0.5,0.6613841524573721
0.001,16,64,32,1,0.0,0.839518555667001
0.001,16,64,32,1,0.3,0.8497492477432297
0.001,16,64,32,1,0.5,0.8519558676028084
0.001,16,64,32,2,0.0,0.8718154463390171
0.001,16,64,32,2,0.3,0.877432296890672
0.001,16,64,32,2,0.5,0.6702106318956871
0.001,16,64,32,3,0.0,0.8611835506519558
0.001,16,64,32,3,0.3,0.7285857572718154
0.001,16,64,32,3,0.5,0.5131394182547643
0.001,16,64,64,1,0.0,0.8341023069207623
0.001,16,64,64,1,0.3,0.8212637913741224
0.001,16,64,64,1,0.5,0.8509528585757272
0.001,16,64,64,2,0.0,0.8768304914744233
0.001,16,64,64,2,0.3,0.8684052156469408
0.001,16,64,64,2,0.5,0.872617853560682
0.001,16,64,64,3,0.0,0.792778335005015
0.001,16,64,64,3,0.3,0.6668004012036108
0.001,16,64,64,3,0.5,0.8022066198595788
0.001,16,64,128,1,0.0,0.8615847542627884
0.001,16,64,128,1,0.3,0.8318956870611836
0.001,16,64,128,1,0.5,0.8423269809428285
0.001,16,64,128,2,0.0,0.8583751253761284
0.001,16,64,128,2,0.3,0.8746238716148446
0.001,16,64,128,2,0.5,0.8674022066198596
